 train         node      observed        predicted
     y          448    0.444265E+001    0.485502E+001
     y           17    0.366356E+001    0.383740E+001
     y          106    0.418965E+001    0.478343E+001
     y          113    0.516479E+001    0.563954E+001
     y           61    0.470048E+001    0.503797E+001
     y          131    0.506260E+001    0.482770E+001
     y          231    0.510595E+001    0.525112E+001
     y          221    0.368888E+001    0.415647E+001
     y          437    0.409434E+001    0.429945E+001
     y           21    0.496981E+001    0.470326E+001
     y          450    0.485981E+001    0.477684E+001
     y          229    0.468213E+001    0.461325E+001
     y          113    0.480402E+001    0.487954E+001
     y          240    0.461512E+001    0.495898E+001
     y           21    0.438203E+001    0.430794E+001
     y          230    0.438203E+001    0.459076E+001
     y           23    0.391202E+001    0.397369E+001
     y          230    0.426268E+001    0.453136E+001
     y          436    0.427667E+001    0.437872E+001
     y          121    0.523111E+001    0.542391E+001
     y          260    0.424850E+001    0.484597E+001
     y          260    0.455388E+001    0.467229E+001
     y          241    0.513580E+001    0.490539E+001
     y           24    0.361092E+001    0.420214E+001
     y          431    0.409434E+001    0.405390E+001
     y          230    0.527300E+001    0.475835E+001
     y          113    0.552146E+001    0.497788E+001
     y          113    0.513580E+001    0.491248E+001
     y          231    0.509375E+001    0.488446E+001
     y          437    0.444265E+001    0.426067E+001
     y           64    0.463473E+001    0.440837E+001
     y          436    0.407754E+001    0.452509E+001
     y          220    0.479579E+001    0.438779E+001
     y          132    0.539363E+001    0.557646E+001
     y          451    0.550126E+001    0.540811E+001
     y          113    0.407754E+001    0.447638E+001
     y          260    0.409434E+001    0.380291E+001
     y          217    0.493447E+001    0.497613E+001
     y          113    0.542495E+001    0.535669E+001
     y          430    0.361092E+001    0.369184E+001
     y          260    0.470953E+001    0.473552E+001
     y           59    0.622851E+001    0.628658E+001
     y          132    0.507517E+001    0.450537E+001
     y           61    0.485203E+001    0.516110E+001
     y          133    0.467283E+001    0.507830E+001
     y          261    0.366356E+001    0.483043E+001
     y          133    0.511799E+001    0.515018E+001
     y          132    0.529832E+001    0.522846E+001
     y          229    0.431749E+001    0.444890E+001
     y          230    0.447734E+001    0.465564E+001
     y          430    0.380666E+001    0.375697E+001
     y          117    0.552146E+001    0.533152E+001
     y          431    0.452179E+001    0.388163E+001
     y          231    0.558725E+001    0.527497E+001
     y           52    0.447734E+001    0.452868E+001
     y          436    0.459512E+001    0.450605E+001
     y          448    0.537064E+001    0.502426E+001
     y          449    0.482831E+001    0.429418E+001
     y          436    0.501064E+001    0.467870E+001
     y          230    0.434381E+001    0.462830E+001
     y          241    0.559099E+001    0.555391E+001
     y          449    0.460517E+001    0.464256E+001
     y           21    0.485203E+001    0.487882E+001
     y          437    0.431749E+001    0.387606E+001
     y          132    0.431749E+001    0.464976E+001
     y          113    0.531321E+001    0.510577E+001
     y          113    0.550533E+001    0.582708E+001
     y          230    0.436945E+001    0.455172E+001
     y          223    0.453260E+001    0.452976E+001
     y          133    0.517048E+001    0.515018E+001
     y          117    0.638182E+001    0.589545E+001
     y          229    0.480402E+001    0.452007E+001
     y          121    0.596358E+001    0.606680E+001
     y          223    0.438203E+001    0.467362E+001
     y          221    0.368888E+001    0.392757E+001
     y          231    0.607535E+001    0.535833E+001
     y           67    0.496981E+001    0.454872E+001
     y           52    0.395124E+001    0.404383E+001
     y          113    0.438203E+001    0.461873E+001
     y          241    0.529832E+001    0.532052E+001
     y          261    0.456435E+001    0.444490E+001
     y          437    0.460517E+001    0.460517E+001
     y          116    0.666568E+001    0.714914E+001
     y          220    0.459512E+001    0.443435E+001
     y          437    0.481218E+001    0.473536E+001
     y          240    0.511199E+001    0.490723E+001
     y          117    0.577144E+001    0.560917E+001
     y          131    0.441884E+001    0.482770E+001
     y          261    0.465396E+001    0.459178E+001
     y          132    0.497673E+001    0.488599E+001
     y          220    0.452179E+001    0.438982E+001
     y          450    0.552146E+001    0.510573E+001
     y          231    0.500395E+001    0.518455E+001
     y          113    0.471850E+001    0.466973E+001
     y          448    0.500395E+001    0.498147E+001
     y          131    0.449981E+001    0.482770E+001
     y          230    0.460517E+001    0.459108E+001
     y          229    0.458497E+001    0.426246E+001
     y          231    0.509987E+001    0.528180E+001
     y          231    0.467283E+001    0.462118E+001
     y          221    0.456435E+001    0.449775E+001
     y           59    0.569036E+001    0.565022E+001
     y          131    0.453260E+001    0.482770E+001
     y           19    0.522036E+001    0.515212E+001
     y           50    0.414313E+001    0.423624E+001
     y           31    0.630445E+001    0.591250E+001
     y          240    0.355535E+001    0.453647E+001
     y          229    0.570044E+001    0.524809E+001
     y          220    0.494164E+001    0.448801E+001
     y          261    0.467283E+001    0.478391E+001
     y           23    0.489784E+001    0.442733E+001
     y          449    0.512396E+001    0.497553E+001
     y           23    0.349651E+001    0.386923E+001
     y          230    0.411087E+001    0.392853E+001
     y          117    0.610032E+001    0.595009E+001
     y          131    0.494876E+001    0.482770E+001
     y          436    0.363759E+001    0.463725E+001
     y          132    0.851719E+001    0.629290E+001
     y          229    0.391202E+001    0.398493E+001
     y          230    0.393183E+001    0.460563E+001
     y          261    0.469135E+001    0.424081E+001
     y          231    0.453260E+001    0.458665E+001
     y          231    0.555296E+001    0.484051E+001
     y          133    0.529330E+001    0.501070E+001
     y          231    0.495583E+001    0.486008E+001
     y          113    0.570044E+001    0.624928E+001
     y           61    0.534711E+001    0.561574E+001
     y          131    0.451086E+001    0.482770E+001
     y          241    0.489035E+001    0.568561E+001
     y          230    0.485981E+001    0.454065E+001
     y           31    0.657508E+001    0.599911E+001
     y          217    0.479579E+001    0.522259E+001
     y          133    0.506260E+001    0.507830E+001
     y          229    0.435671E+001    0.465161E+001
     y          241    0.553733E+001    0.545106E+001
     y          231    0.389182E+001    0.475610E+001
     y          431    0.402535E+001    0.429993E+001
     y          220    0.325810E+001    0.397766E+001
     y          431    0.397029E+001    0.442749E+001
     y          229    0.465396E+001    0.463874E+001
     y           51    0.340120E+001    0.380471E+001
     y          431    0.544674E+001    0.413360E+001
     y          231    0.550939E+001    0.518518E+001
     y          231    0.470048E+001    0.484898E+001
     y          222    0.456435E+001    0.464593E+001
     y           52    0.409434E+001    0.436538E+001
     y           31    0.627664E+001    0.637817E+001
     y          437    0.525227E+001    0.473536E+001
     y          113    0.475359E+001    0.472694E+001
     y          133    0.729438E+001    0.708082E+001
     y          436    0.501064E+001    0.443411E+001
     y           67    0.610702E+001    0.664170E+001
     y           37    0.417439E+001    0.504236E+001
     y          229    0.407754E+001    0.445449E+001
     y          231    0.524175E+001    0.511397E+001
     y          436    0.480402E+001    0.422725E+001
     y          131    0.482028E+001    0.482770E+001
     y           61    0.483628E+001    0.501261E+001
     y           64    0.366356E+001    0.370758E+001
     y          261    0.527300E+001    0.471609E+001
     y          221    0.368888E+001    0.435455E+001
     y           21    0.458497E+001    0.518838E+001
     y          231    0.461512E+001    0.466750E+001
     y          113    0.534233E+001    0.513751E+001
     y          437    0.465396E+001    0.450245E+001
     y          231    0.457471E+001    0.480288E+001
     y          113    0.565599E+001    0.498467E+001
     y          106    0.466344E+001    0.443669E+001
     y          113    0.575890E+001    0.593797E+001
     y          230    0.463473E+001    0.442014E+001
     y          448    0.446591E+001    0.485823E+001
     y          240    0.465396E+001    0.466141E+001
     y          231    0.446591E+001    0.458443E+001
     y           44    0.424850E+001    0.466137E+001
     y          229    0.441884E+001    0.451505E+001
     y          214    0.407754E+001    0.398612E+001
     y          116    0.516479E+001    0.532233E+001
     y           19    0.470953E+001    0.462312E+001
     y          220    0.482831E+001    0.467739E+001
     y          448    0.464439E+001    0.516058E+001
     y          240    0.439445E+001    0.467372E+001
     y          260    0.289037E+001    0.358283E+001
     y          113    0.469135E+001    0.482370E+001
     y          261    0.497673E+001    0.491263E+001
     y           50    0.447734E+001    0.413142E+001
     y          448    0.516479E+001    0.450146E+001
     y          229    0.464439E+001    0.465868E+001
     y          121    0.548894E+001    0.492299E+001
     y           19    0.457471E+001    0.512768E+001
     y           52    0.459512E+001    0.449059E+001
     y          449    0.490527E+001    0.480107E+001
     y           23    0.503695E+001    0.466832E+001
     y          230    0.435671E+001    0.454487E+001
     y          223    0.490527E+001    0.433724E+001
     y           37    0.424850E+001    0.424850E+001
     y          240    0.478749E+001    0.537859E+001
     y          431    0.421951E+001    0.442571E+001
     y          113    0.489784E+001    0.451747E+001
     y          437    0.380666E+001    0.439044E+001
     y          214    0.433073E+001    0.431364E+001
     y          437    0.417439E+001    0.403897E+001
     y          220    0.444265E+001    0.454621E+001
     y          113    0.561677E+001    0.557921E+001
     y          261    0.431749E+001    0.380908E+001
     y          230    0.474493E+001    0.465542E+001
     y          113    0.424850E+001    0.443757E+001
     y          240    0.433073E+001    0.476577E+001
     y          241    0.397029E+001    0.445566E+001
     y          436    0.376120E+001    0.442710E+001
     y          430    0.418965E+001    0.433413E+001
     y           44    0.352636E+001    0.373780E+001
     y           51    0.368888E+001    0.347511E+001
     y          241    0.526269E+001    0.494884E+001
     y          448    0.464439E+001    0.523301E+001
     y          431    0.431749E+001    0.402001E+001
     y          230    0.482028E+001    0.457991E+001
     y          231    0.528320E+001    0.545040E+001
     y          220    0.373767E+001    0.406634E+001
     y          229    0.521494E+001    0.473383E+001
     y           31    0.668336E+001    0.699716E+001
     y          437    0.391202E+001    0.427591E+001
     y          121    0.534711E+001    0.614641E+001
     y          230    0.461512E+001    0.454985E+001
     y          231    0.507517E+001    0.500407E+001
     y           61    0.571373E+001    0.514069E+001
     y          241    0.465396E+001    0.469795E+001
     y          436    0.473620E+001    0.441518E+001
     y          113    0.600141E+001    0.497049E+001
     y          230    0.459512E+001    0.465806E+001
     y          132    0.652209E+001    0.509415E+001
     y          230    0.459512E+001    0.460487E+001
     y          229    0.504986E+001    0.484746E+001
     y          437    0.321888E+001    0.409324E+001
     y          223    0.474493E+001    0.461241E+001
     y          133    0.609582E+001    0.606358E+001
     y          222    0.431749E+001    0.425219E+001
     y          449    0.536129E+001    0.477364E+001
     y          231    0.525750E+001    0.520303E+001
     y          450    0.579909E+001    0.577112E+001
     y          220    0.400733E+001    0.382683E+001
     y          131    0.475359E+001    0.482770E+001
     y          431    0.527300E+001    0.464421E+001
     y          117    0.593489E+001    0.615146E+001
     y          229    0.436945E+001    0.457831E+001
     y          451    0.559099E+001    0.529456E+001
     y          230    0.431749E+001    0.453734E+001
     y           36    0.598896E+001    0.574925E+001
     y          231    0.455388E+001    0.483917E+001
     y           61    0.506890E+001    0.467123E+001
     y          260    0.519296E+001    0.469546E+001
     y          431    0.498361E+001    0.447956E+001
     y          222    0.329584E+001    0.332774E+001
     y           61    0.561677E+001    0.535619E+001
     y          113    0.541610E+001    0.531794E+001
     y           51    0.349651E+001    0.338579E+001
     y          230    0.434381E+001    0.442580E+001
     y          241    0.518178E+001    0.496415E+001
     y          229    0.439445E+001    0.470435E+001
